Symbol,Name,Sector,Industry
CACC,Credit Acceptance Corporation,Finance,Finance: Consumer Services
GLDI,Credit Suisse AG,Finance,Investment Bankers/Brokers/Service
SLVO,Credit Suisse Silver Shares Covered Call ETN,Finance,Investment Bankers/Brokers/Service
CREE,"Cree, Inc.",Technology,Semiconductors
CRESW,Cresud S.A.C.I.F. y A.,Finance,Real Estate
CRESY,Cresud S.A.C.I.F. y A.,Finance,Real Estate
CRTO,Criteo S.A.,Technology,Advertising
CROX,"Crocs, Inc.",Consumer Non-Durables,Shoe Manufacturing
CCRN,"Cross Country Healthcare, Inc.",Technology,Professional Services
CRDS,"Crossroads Systems, Inc.",Technology,Computer peripheral equipment
CRWS,"Crown Crafts, Inc.",Basic Industries,Textiles
CRWN,"Crown Media Holdings, Inc.",Consumer Services,Television Services
CSGS,"CSG Systems International, Inc.",Technology,EDP Services
CCLP,CSI Compressco LP,Energy,Oilfield Services/Equipment
CSPI,CSP Inc.,Technology,EDP Services
CSRE,CSR plc,Technology,Semiconductors
CTCM,"CTC Media, Inc.",Consumer Services,Broadcasting
CTIC,CTI BioPharma Corp.,Health Care,Major Pharmaceuticals
CTIB,CTI Industries Corporation,Basic Industries,Specialty Chemicals
CTRP,"Ctrip.com International, Ltd.",Miscellaneous,Business Services
CUNB,CU Bancorp (CA),Finance,Major Banks
CUI,"CUI Global, Inc.",Consumer Non-Durables,Electronic Components
CPIX,Cumberland Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
CMLS,Cumulus Media Inc.,Consumer Services,Broadcasting
CRIS,"Curis, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CUTR,"Cutera, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVBF,CVB Financial Corporation,Finance,Major Banks
CVV,CVD Equipment Corporation,Technology,Industrial Machinery/Components
CYAN,Cyanotech Corporation,Consumer Durables,Specialty Chemicals
CYBR,CyberArk Software Ltd.,Technology,Computer Software: Prepackaged Software
CYBX,"Cyberonics, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CYBE,CyberOptics Corporation,Capital Goods,Electronic Components
CYCC,"Cyclacel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CYCCP,"Cyclacel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CBAY,Cymabay Therapeutics Inc.,Health Care,Major Pharmaceuticals
CYNO,"Cynosure, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CY,Cypress Semiconductor Corporation,Technology,Semiconductors
CYRN,CYREN Ltd.,Technology,Computer Software: Prepackaged Software
CONE,CyrusOne Inc,Consumer Services,Real Estate Investment Trusts
CYTK,"Cytokinetics, Incorporated",Health Care,Major Pharmaceuticals
CYTX,Cytori Therapeutics Inc,Health Care,Medical/Dental Instruments
CTSO,Cytosorbents Corporation,Health Care,Medical/Dental Instruments
CYTR,CytRx Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DAEG,Daegis Inc,Technology,Computer Software: Prepackaged Software
DJCO,Daily Journal Corp. (S.C.),Consumer Services,Newspapers/Magazines
DAKT,"Daktronics, Inc.",Consumer Durables,Miscellaneous manufacturing industries
DARA,"DARA Biosciences, Inc.",Health Care,Major Pharmaceuticals
DAIO,Data I/O Corporation,Capital Goods,Electrical Products
DTLK,Datalink Corporation,Technology,EDP Services
DRAM,Dataram Corporation,Technology,Electronic Components
DWCH,Datawatch Corporation,Technology,Computer Software: Prepackaged Software
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",Consumer Services,Restaurants
DWSN,Dawson Geophysical Company,Energy,Oil & Gas Production
DBVT,DBV Technologies S.A.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TRAK,"Dealertrack Technologies, Inc.",Technology,EDP Services
DHRM,Dehaier Medical Systems Limited,Health Care,Medical/Dental Instruments
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",Consumer Services,Restaurants
DCTH,"Delcath Systems, Inc.",Health Care,Medical/Dental Instruments
DGAS,"Delta Natural Gas Company, Inc.",Public Utilities,Oil & Gas Production
DENN,Denny&#39;s Corporation,Consumer Services,Restaurants
XRAY,DENTSPLY International Inc.,Health Care,Medical/Dental Instruments
DEPO,"Depomed, Inc.",Health Care,Major Pharmaceuticals
DSCI,"Derma Sciences, Inc.",Health Care,Medical/Dental Instruments
DERM,"Dermira, Inc.",Health Care,Major Pharmaceuticals
DEST,Destination Maternity Corporation,Consumer Services,Clothing/Shoe/Accessory Stores
DXLG,"Destination XL Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
DSWL,"Deswell Industries, Inc.",Consumer Non-Durables,Plastic Products
DXM,"Dex Media, Inc.",Consumer Services,Advertising
DXCM,"DexCom, Inc.",Health Care,Medical/Dental Instruments
DMND,"Diamond Foods, Inc.",Consumer Non-Durables,Packaged Foods
DHIL,"Diamond Hill Investment Group, Inc.",Finance,Investment Managers
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas Production
DCIX,Diana Containerships Inc.,Transportation,Marine Transportation
DRNA,"Dicerna Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DGII,Digi International Inc.,Technology,Computer Communications Equipment
DMRC,Digimarc Corporation,Technology,EDP Services
DRAD,Digirad Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DGLY,"Digital Ally, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
APPS,"Digital Turbine, Inc.",Miscellaneous,Multi-Sector Companies
DCOM,"Dime Community Bancshares, Inc.",Finance,Savings Institutions
DIOD,Diodes Incorporated,Technology,Semiconductors
DPRX,"Dipexium Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DTV,DIRECTV,Consumer Services,Telecommunications Equipment
DISCA,"Discovery Communications, Inc.",Consumer Services,Television Services
DISCB,"Discovery Communications, Inc.",Consumer Services,Television Services
DISCK,"Discovery Communications, Inc.",Consumer Services,Television Services
DSCO,"Discovery Laboratories, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DISH,DISH Network Corporation,Consumer Services,Television Services
DVCR,Diversicare Healthcare Services Inc.,Health Care,Hospital/Nursing Management
BAGR,"Diversified Restaurant Holdings, Inc.",Consumer Services,Restaurants
DLHC,DLH Holdings Corp.,Technology,Professional Services
DNBF,DNB Financial Corp,Finance,Major Banks
DLTR,"Dollar Tree, Inc.",Consumer Services,Department/Specialty Retail Stores
DGICA,"Donegal Group, Inc.",Finance,Property-Casualty Insurers
DGICB,"Donegal Group, Inc.",Finance,Property-Casualty Insurers
DMLP,"Dorchester Minerals, L.P.",Energy,Oil & Gas Production
DORM,"Dorman Products, Inc.",Capital Goods,Auto Parts:O.E.M.
HILL,Dot Hill Systems Corporation,Technology,Electronic Components
DOVR,"Dover Saddlery, Inc.",Consumer Services,Other Specialty Stores
DRWI,DragonWave Inc,Public Utilities,Telecommunications Equipment
DRWIW,DragonWave Inc,Public Utilities,Telecommunications Equipment
DWA,"Dreamworks Animation SKG, Inc.",Consumer Services,Movies/Entertainment
DRYS,DryShips Inc.,Transportation,Marine Transportation
DSKX,"DS Healthcare Group, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
DSPG,"DSP Group, Inc.",Technology,Semiconductors
CADT,DT Asia Investments Limited,Finance,Business Services
CADTR,DT Asia Investments Limited,Finance,Business Services
CADTU,DT Asia Investments Limited,Finance,Business Services
CADTW,DT Asia Investments Limited,Finance,Business Services
DTSI,"DTS, Inc.",Miscellaneous,Multi-Sector Companies
DNKN,"Dunkin&#39; Brands Group, Inc.",Consumer Services,Restaurants
DRRX,Durect Corporation,Health Care,Major Pharmaceuticals
DXPE,"DXP Enterprises, Inc.",Capital Goods,Industrial Machinery/Components
DYAX,Dyax Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BOOM,Dynamic Materials Corporation,Capital Goods,Industrial Specialties
DYSL,Dynasil Corporation of America,Capital Goods,Industrial Machinery/Components
DYNT,Dynatronics Corporation,n/a,n/a
DVAX,Dynavax Technologies Corporation,Health Care,Major Pharmaceuticals
ETFC,E*TRADE Financial Corporation,Finance,Savings Institutions
EOPN,"E2open, Inc.",Technology,Computer Software: Prepackaged Software
EBMT,"Eagle Bancorp Montana, Inc.",Finance,Savings Institutions
EGBN,"Eagle Bancorp, Inc.",Finance,Major Banks
EGLE,Eagle Bulk Shipping Inc.,Transportation,Marine Transportation
EGRX,"Eagle Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
EROC,"Eagle Rock Energy Partners, L.P.",Energy,Oil & Gas Production
ELNK,EarthLink Holdings Corp.,Technology,"Computer Software: Programming, Data Processing"
EWBC,"East West Bancorp, Inc.",Finance,Major Banks
EML,Eastern Company (The),Capital Goods,Industrial Machinery/Components
EVBS,"Eastern Virginia Bankshares, Inc.",Finance,Major Banks
EBAY,eBay Inc.,Miscellaneous,Business Services
EBIX,"Ebix, Inc.",Technology,EDP Services
ELON,Echelon Corporation,Technology,Computer Communications Equipment
ECHO,"Echo Global Logistics, Inc.",Transportation,Oil Refining/Marketing
ECTE,"Echo Therapeutics, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SATS,EchoStar Corporation,Technology,Radio And Television Broadcasting And Communications Equipment
EEI,"Ecology and Environment, Inc.",Consumer Services,Military/Government/Technical
EDAP,EDAP TMS S.A.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDGW,"Edgewater Technology, Inc.",Technology,"Computer Software: Programming, Data Processing"
EDUC,Educational Development Corporation,Consumer Durables,Consumer Specialties
EFUT,eFuture Information Technology Inc.,Technology,EDP Services
EGAN,eGain Corporation,Technology,Computer Software: Prepackaged Software
EGLT,Egalet Corporation,Health Care,Major Pharmaceuticals
EHTH,"eHealth, Inc.",Finance,Specialty Insurers
LOCO,"El Pollo Loco Holdings, Inc.",Consumer Services,Restaurants
EMITF,Elbit Imaging Ltd.,Consumer Services,Building operators
ESLT,Elbit Systems Ltd.,Capital Goods,Military/Government/Technical
ERI,"Eldorado Resorts, Inc.",Consumer Services,Hotels/Resorts
ELRC,Electro Rent Corporation,Technology,Diversified Commercial Services
ESIO,"Electro Scientific Industries, Inc.",Miscellaneous,Industrial Machinery/Components
EA,Electronic Arts Inc.,Technology,Computer Software: Prepackaged Software
EFII,"Electronics for Imaging, Inc.",Technology,Computer Communications Equipment
ELSE,"Electro-Sensors, Inc.",Capital Goods,Industrial Machinery/Components
EBIO,"Eleven Biotherapeutics, Inc.",Health Care,Major Pharmaceuticals
RDEN,"Elizabeth Arden, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
ESBK,Elmira Savings Bank NY (The),Finance,Major Banks
LONG,"eLong, Inc.",Consumer Services,Transportation Services
ELTK,Eltek Ltd.,Technology,Electrical Products
EMCI,EMC Insurance Group Inc.,Finance,Property-Casualty Insurers
EMCF,Emclaire Financial Corp,Finance,Major Banks
EMKR,EMCORE Corporation,Technology,Semiconductors
EMMS,Emmis Communications Corporation,Consumer Services,Broadcasting
EMMSP,Emmis Communications Corporation,Consumer Services,Broadcasting
NYNY,"Empire Resorts, Inc.",Consumer Services,Restaurants
ERS,"Empire Resources, Inc.",Basic Industries,Metal Fabrications
ENTA,"Enanta Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ECPG,Encore Capital Group Inc,Finance,Finance Companies
WIRE,Encore Wire Corporation,Capital Goods,Metal Fabrications
ENDP,Endo International plc,Health Care,Major Pharmaceuticals
ECYT,"Endocyte, Inc.",Health Care,Major Pharmaceuticals
ELGX,"Endologix, Inc.",Health Care,Medical/Dental Instruments
EIGI,"Endurance International Group Holdings, Inc.",Technology,Computer Software: Prepackaged Software
WATT,Energous Corporation,Technology,Radio And Television Broadcasting And Communications Equipment
EFOI,"Energy Focus, Inc.",Consumer Durables,Building Products
ERII,"Energy Recovery, Inc.",Technology,Industrial Machinery/Components
EXXI,Energy XXI Ltd.,Energy,Oil & Gas Production
ENOC,"EnerNOC, Inc.",Technology,"Computer Software: Programming, Data Processing"
ENG,ENGlobal Corporation,Consumer Services,Military/Government/Technical
ENPH,"Enphase Energy, Inc.",Technology,Semiconductors
ESGR,Enstar Group Limited,Finance,Property-Casualty Insurers
ENFC,Entegra Financial Corp.,Finance,Banks
ENTG,"Entegris, Inc.",Consumer Non-Durables,Plastic Products
ENTL,"Entellus Medical, Inc.",n/a,n/a
ETRM,EnteroMedics Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EBTC,Enterprise Bancorp Inc,Finance,Major Banks
EFSC,Enterprise Financial Services Corporation,Finance,Major Banks
EGT,Entertainment Gaming Asia Incorporated,Consumer Durables,Miscellaneous manufacturing industries
ENTR,"Entropic Communications, Inc.",Technology,Semiconductors
ENVI,"Envivio, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
ENZN,"Enzon Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENZY          ,Enzymotec Ltd.,Consumer Durables,Specialty Chemicals
EPIQ,"EPIQ Systems, Inc.",Technology,EDP Services
EPRS,"EPIRUS Biopharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
EPZM,"Epizyme, Inc.",Health Care,Major Pharmaceuticals
PLUS,ePlus inc.,Technology,Retail: Computer Software & Peripheral Equipment
EQIX,"Equinix, Inc.",Public Utilities,Telecommunications Equipment
EAC           ,Erickson Incorporated,Capital Goods,Aerospace
ERIC,Ericsson,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company,Finance,Specialty Insurers
ESCA,"Escalade, Incorporated",Consumer Non-Durables,Recreational Products/Toys
ESCR,Escalera Resources Co.,Energy,Oil & Gas Production
ESCRP,Escalera Resources Co.,Energy,Oil & Gas Production
ESMC,Escalon Medical Corp.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ESPR,"Esperion Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ESSA,"ESSA Bancorp, Inc.",Finance,Banks
ESSX,Essex Rental Corporation,n/a,n/a
CLWT,Euro Tech Holdings Company Limited,Consumer Durables,Diversified Electronic Products
EEFT,"Euronet Worldwide, Inc.",Finance,Investment Bankers/Brokers/Service
ESEA,Euroseas Ltd.,Transportation,Marine Transportation
EVEP,"EV Energy Partners, L.P.",Energy,Oil & Gas Production
EVK,"Ever-Glory International Group, Inc.",Consumer Non-Durables,Apparel
EVRY,"EveryWare Global, Inc.",Consumer Durables,Home Furnishings
EVLV,EVINE Live Inc.,Consumer Services,Catalog/Specialty Distribution
EVOK,"Evoke Pharma, Inc.",Health Care,Major Pharmaceuticals
EVOL,"Evolving Systems, Inc.",Technology,EDP Services
EXA,Exa Corporation,Technology,Computer Software: Prepackaged Software
EXAS,EXACT Sciences Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXAC,"Exactech, Inc.",Health Care,Industrial Specialties
EDS,Exceed Company Ltd.,Consumer Non-Durables,Shoe Manufacturing
EXEL,"Exelixis, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXFO,EXFO Inc,Capital Goods,Electrical Products
EXLS,"ExlService Holdings, Inc.",Miscellaneous,Business Services
EXPE,"Expedia, Inc.",Consumer Services,Transportation Services
EXPD,"Expeditors International of Washington, Inc.",Transportation,Oil Refining/Marketing
EXPO,"Exponent, Inc.",Consumer Services,Professional Services
ESRX,Express Scripts Holding Company,Health Care,Medical/Nursing Services
EXLP,"Exterran Partners, L.P.",Public Utilities,Natural Gas Distribution
EXTR,"Extreme Networks, Inc.",Technology,Computer Communications Equipment
EZCH,EZchip Semiconductor Limited,Technology,Computer Communications Equipment
EZPW,"EZCORP, Inc.",Consumer Services,Other Specialty Stores
FFIV,"F5 Networks, Inc.",Technology,Computer Communications Equipment
FB,"Facebook, Inc.",Technology,"Computer Software: Programming, Data Processing"
FCS,"Fairchild Semiconductor International, Inc.",Technology,Semiconductors
FRP,"FairPoint Communications, Inc.",Public Utilities,Telecommunications Equipment
FWM,Fairway Group Holdings Corp.,Consumer Services,Food Chains
FALC,"FalconStor Software, Inc.",Technology,Computer Software: Prepackaged Software
DAVE,"Famous Dave&#39;s of America, Inc.",Consumer Services,Restaurants
FARM,Farmer Brothers Company,Consumer Non-Durables,Packaged Foods
FFKT,Farmers Capital Bank Corporation,Finance,Major Banks
FMNB,Farmers National Banc Corp.,Finance,Major Banks
FARO,"FARO Technologies, Inc.",Capital Goods,Industrial Machinery/Components
FAST,Fastenal Company,Consumer Services,RETAIL: Building Materials
FATE,"Fate Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FBSS,"Fauquier Bankshares, Inc.",Finance,Major Banks
FBRC,FBR & Co,Finance,Investment Bankers/Brokers/Service
FDML,Federal-Mogul Holdings Corporation,Capital Goods,Auto Parts:O.E.M.
FNHC,Federated National Holding Company,Finance,Property-Casualty Insurers
FEIC,FEI Company,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FHCO,Female Health Company (The),Basic Industries,Specialty Chemicals
FCSC,Fibrocell Science Inc,Health Care,Major Pharmaceuticals
FGEN,"FibroGen, Inc",Health Care,Major Pharmaceuticals
ONEQ,Fidelity Nasdaq Composite Tracker Stock,n/a,n/a
LION,Fidelity Southern Corporation,Finance,Major Banks
FDUS,Fidus Investment Corporation,n/a,n/a
FRGI,"Fiesta Restaurant Group, Inc.",Consumer Services,Restaurants
FSAM,Fifth Street Asset Management Inc.,Finance,Investment Managers
FSC,Fifth Street Finance Corp.,n/a,n/a
FSCFL,Fifth Street Finance Corp.,n/a,n/a
FSFR,Fifth Street Senior Floating Rate Corp.,n/a,n/a
FITB,Fifth Third Bancorp,Finance,Major Banks
FITBI,Fifth Third Bancorp,Finance,Major Banks
FNGN,"Financial Engines, Inc.",Finance,Investment Managers
FISI,"Financial Institutions, Inc.",Finance,Major Banks
FNSR,Finisar Corporation,Technology,Semiconductors
FNJN,"Finjan Holdings, Inc.",Miscellaneous,Multi-Sector Companies
FNTCU,FinTech Acquisition Corp.,n/a,n/a
FEYE,"FireEye, Inc.",Technology,Computer peripheral equipment
FBNC,First Bancorp,Finance,Major Banks
FNLC,"First Bancorp, Inc (ME)",Finance,Major Banks
FRBA,First Bank,n/a,n/a
BUSE,First Busey Corporation,Finance,Major Banks
FBIZ,"First Business Financial Services, Inc.",Finance,Major Banks
FCVA,"First Capital Bancorp, Inc. (VA)",Finance,Major Banks
FCAP,"First Capital, Inc.",Finance,Savings Institutions
FCFS,"First Cash Financial Services, Inc.",Consumer Services,Other Specialty Stores
FCZA,First Citizens Banc Corp.,Finance,Major Banks
FCZAP,First Citizens Banc Corp.,Finance,Major Banks
FCNCA,"First Citizens BancShares, Inc.",Finance,Major Banks
FCLF,First Clover Leaf Financial Corp.,Finance,Savings Institutions
FCBC,"First Community Bancshares, Inc.",Finance,Major Banks
FCCO,First Community Corporation,Finance,Major Banks
FBNK,"First Connecticut Bancorp, Inc.",Finance,Banks
FDEF,First Defiance Financial Corp.,Finance,Savings Institutions
FFNM,"First Federal of Northern Michigan Bancorp, Inc.",Finance,Major Banks
FFBC,First Financial Bancorp.,Finance,Major Banks
FFBCW,First Financial Bancorp.,Finance,Major Banks
FFIN,"First Financial Bankshares, Inc.",Finance,Major Banks
THFF,First Financial Corporation Indiana,Finance,Major Banks
FFNW,"First Financial Northwest, Inc.",Finance,Banks
FFWM,First Foundation Inc.,Finance,Major Banks
INBK,First Internet Bancorp,Finance,Major Banks
FIBK,"First Interstate BancSystem, Inc.",Finance,Major Banks
FRME,First Merchants Corporation,Finance,Major Banks
FMBH,"First Mid-Illinois Bancshares, Inc.",Finance,Major Banks
FMBI,"First Midwest Bancorp, Inc.",Finance,Major Banks
FNBC,First NBC Bank Holding Company,Finance,Major Banks
FNFG,First Niagara Financial Group Inc.,Finance,Major Banks
FNWB,First Northwest Bancorp,n/a,n/a
FSFG,"First Savings Financial Group, Inc.",Finance,Savings Institutions
FSGI,"First Security Group, Inc.",Finance,Major Banks
FSLR,"First Solar, Inc.",Technology,Semiconductors
FSBK,First South Bancorp Inc,Finance,Major Banks
BICK,First Trust BICK Index Fund,n/a,n/a
FTCS,First Trust Capital Strength ETF,n/a,n/a
FV,First Trust Dorsey Wright Focus,n/a,n/a
IFV,First Trust Dorsey Wright International Focus 5 ETF,n/a,n/a
FEMB,First Trust Emerging Markets Local Currency Bond ETF,n/a,n/a
FTSM,First Trust Enhanced Short Maturity ETF,n/a,n/a
FEUZ,First Trust Eurozone AlphaDEX ETF,n/a,n/a
MDIV,First Trust Exchange-Traded Fund VI Multi-Asset Diversified In,n/a,n/a
FTGC,First Trust Global Tactical Commodity Strategy Fund,n/a,n/a
FTHI,First Trust High Income ETF,n/a,n/a
HYLS,First Trust High Yield Long/Short ETF,n/a,n/a
FPXI,First Trust International IPO ETF,n/a,n/a
SKYY,First Trust ISE Cloud Computing Index Fund,n/a,n/a
PLTM,First Trust ISE Global Platinum Index,n/a,n/a
FTLB,First Trust Low Beta Income ETF,n/a,n/a
LMBS,First Trust Low Duration Mortgage Opportunities ETF,n/a,n/a
FMB,First Trust Managed Municipal ETF,n/a,n/a
QABA,First Trust NASDAQ ABA Community Bank Index Fund,n/a,n/a
FONE,First Trust NASDAQ CEA Smartphone Index Fund,n/a,n/a
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,n/a,n/a
QCLN,First Trust NASDAQ Clean Edge US Liquid Series Index Fund,n/a,n/a
CARZ,First Trust NASDAQ Global Auto Index Fund,n/a,n/a
RDVY,First Trust NASDAQ Rising Dividend Achievers ETF,n/a,n/a
TDIV,First Trust NASDAQ Technology Dividend Index Fund,n/a,n/a
YDIV,First Trust NASDAQ Technology Dividend Index Fund,n/a,n/a
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,n/a,n/a
QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,n/a,n/a
QTEC,First Trust NASDAQ-100 Technology Sector Index Fund,n/a,n/a
AIRR,First Trust RBA American Industrial Renaissance ETF,n/a,n/a
QINC,First Trust RBA Quality Income ETF,n/a,n/a
FTSL,First Trust Senior Loan ETF,n/a,n/a
FDIV,First Trust Strategic Income ETF,n/a,n/a
TUSA,First Trust Total US Market AlphaDEX ETF,n/a,n/a
FUNC,First United Corporation,Finance,Major Banks
SVVC,"Firsthand Technology Value Fund, Inc.",n/a,n/a
FMER,FirstMerit Corporation,Finance,Major Banks
FSRV,FirstService Corporation,Finance,Real Estate
FISV,"Fiserv, Inc.",Technology,EDP Services
FIVE,"Five Below, Inc.",Consumer Services,Department/Specialty Retail Stores
FPRX,"Five Prime Therapeutics, Inc.",Health Care,Major Pharmaceuticals
FIVN,"Five9, Inc.",Technology,EDP Services
FLML,Flamel Technologies S.A.,Health Care,Major Pharmaceuticals
FLKS,"Flex Pharma, Inc.",n/a,n/a
FLXN,"Flexion Therapeutics, Inc.",Health Care,Major Pharmaceuticals
SKOR,FlexShares Credit-Scored US Corporate Bond Index Fund,n/a,n/a
MBSD,Flexshares Trust-Flexshares Disciplined Duration Mbs Index Fun,n/a,n/a
FLXS,"Flexsteel Industries, Inc.",Consumer Durables,Home Furnishings
FLEX,Flextronics International Ltd.,Technology,Electrical Products
FLIR,"FLIR Systems, Inc.",Capital Goods,Industrial Machinery/Components
FLDM,Fluidigm Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FFIC,Flushing Financial Corporation,Finance,Major Banks
FOMX,Foamix Pharmaceuticals Ltd.,Consumer Durables,Specialty Chemicals
FONR,Fonar Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FES,Forbes Energy Services Ltd,Energy,Oilfield Services/Equipment
FNRG,ForceField Energy Inc.,Basic Industries,Major Chemicals
FORM,"FormFactor, Inc.",Technology,Semiconductors
FORTY,Formula Systems (1985) Ltd.,Technology,EDP Services
FORR,"Forrester Research, Inc.",Consumer Services,Diversified Commercial Services
FTNT,"Fortinet, Inc.",Technology,Computer peripheral equipment
FWRD,Forward Air Corporation,Transportation,Oil Refining/Marketing
FORD,"Forward Industries, Inc.",Consumer Non-Durables,Plastic Products
FWP,Forward Pharma A/S,Health Care,Major Pharmaceuticals
FOSL,"Fossil Group, Inc.",Consumer Non-Durables,Consumer Specialties
FMI,"Foundation Medicine, Inc.",Health Care,Medical Specialities
FXCB,"Fox Chase Bancorp, Inc.",Finance,Savings Institutions
FOXF,Fox Factory Holding Corp.,Consumer Non-Durables,Motor Vehicles
FRAN,Francesca&#39;s Holdings Corporation,Consumer Services,Clothing/Shoe/Accessory Stores
FELE,"Franklin Electric Co., Inc.",Consumer Durables,Metal Fabrications
FRED,"Fred&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores
FREE,FreeSeas Inc.,Transportation,Marine Transportation
RAIL,"Freightcar America, Inc.",Capital Goods,Railroads
FEIM,"Frequency Electronics, Inc.",Capital Goods,Electrical Products
FRPT,"Freshpet, Inc.",Consumer Non-Durables,Packaged Foods
FTR,Frontier Communications Corporation,Public Utilities,Telecommunications Equipment
FRPH,"FRP Holdings, Inc.",Transportation,Trucking Freight/Courier Services
FSBW,"FS Bancorp, Inc.",Finance,Banks
FTD,"FTD Companies, Inc.",Consumer Services,Other Consumer Services
FSYS,"Fuel Systems Solutions, Inc.",Capital Goods,Auto Parts:O.E.M.
FTEK,"Fuel Tech, Inc.",Capital Goods,Pollution Control Equipment
FCEL,"FuelCell Energy, Inc.",Miscellaneous,Industrial Machinery/Components
FULL,Full Circle Capital Corporation,n/a,n/a
FULLL,Full Circle Capital Corporation,n/a,n/a
FLL,"Full House Resorts, Inc.",Consumer Services,Hotels/Resorts
FULT,Fulton Financial Corporation,Finance,Major Banks
FSNN,"Fusion Telecommunications International, Inc.",Public Utilities,Telecommunications Equipment
FFHL,"Fuwei Films (Holdings) Co., Ltd.",Capital Goods,Specialty Chemicals
FXEN,"FX Energy, Inc.",Energy,Oil & Gas Production
FXENP,"FX Energy, Inc.",Energy,Oil & Gas Production
GK,"G&K Services, Inc.",Consumer Services,Other Consumer Services
WILC,"G. Willi-Food International,  Ltd.",Consumer Non-Durables,Food Distributors
GAIA,"Gaiam, Inc.",Consumer Services,Movies/Entertainment
GALT,Galectin Therapeutics Inc.,Health Care,Major Pharmaceuticals
GALTU,Galectin Therapeutics Inc.,Health Care,Major Pharmaceuticals
GALTW,Galectin Therapeutics Inc.,Health Care,Major Pharmaceuticals
GALE,"Galena Biopharma, Inc.",Health Care,Major Pharmaceuticals
GLMD,Galmed Pharmaceuticals Ltd.,Health Care,Major Pharmaceuticals
GLPI,"Gaming and Leisure Properties, Inc.",Consumer Services,Real Estate Investment Trusts
GPIC,Gaming Partners International Corporation,Consumer Non-Durables,Recreational Products/Toys
GRMN,Garmin Ltd.,Capital Goods,Industrial Machinery/Components
GGAC,Garnero Group Acquisition Company,Finance,Business Services
GGACR,Garnero Group Acquisition Company,Finance,Business Services
GGACU,Garnero Group Acquisition Company,Finance,Business Services
GGACW,Garnero Group Acquisition Company,Finance,Business Services
GARS,Garrison Capital Inc.,n/a,n/a
GKNT,"Geeknet, Inc.",Consumer Services,Other Specialty Stores
GENC,Gencor Industries Inc.,Capital Goods,Construction/Ag Equipment/Trucks
GNCMA,"General Communication, Inc.",Public Utilities,Telecommunications Equipment
GFN,General Finance Corporation,Consumer Services,Other Specialty Stores
GFNCP,General Finance Corporation,Consumer Services,Other Specialty Stores
GFNSL,General Finance Corporation,Consumer Services,Other Specialty Stores
GENE,Genetic Technologies Ltd,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GNMK,"GenMark Diagnostics, Inc.",Health Care,Medical/Dental Instruments
